,Symbol,Name,Industry,IndustryCode
3059,CDMOP,Avid Bioservices Inc Convertible Preference Shares Series E,제약,562010
3060,TLGT,Teligent Inc (NEW JERSEY),제약,562010
3061,PRPO,Precipio Inc,헬스케어 장비 및 용품,561010
3062,EYES,Second Sight Medical Products Inc,헬스케어 장비 및 용품,561010
3063,SONN,Sonnet Biotherapeutics Holdings Inc,생명과학 및 메디컬 리서치,562020
3064,FWP,Forward Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
3065,CPIX,Cumberland Pharmaceuticals Inc,제약,562010
3066,OTRKP,Ontrak Inc PRF,헬스케어 업체 및 서비스,561020
3067,OPNT,Opiant Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
3068,TATT,TAT Technologies Ltd,"컴퓨터, 전화 및 가전제품",571060
3069,JCS,Communications Systems Inc,커뮤니케이션 및 네트워킹,571020
3070,HCAP,Harvest Capital Credit Corp,다양한 금융서비스,555010
3071,CNSP,CNS Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
3072,GRCYU,Greencity Acquisition Corp,기타 금융업,556010
3073,SNGX,Soligenix Inc,생명과학 및 메디컬 리서치,562020
3074,DAIO,Data I/O Corp,소프트웨어 및 IT서비스,572010
3075,ICCH,ICC Holdings Inc,보험,553010
3076,ZCMD,Zhongchao Inc Class A,비즈니스교육,631030
3077,HCDI,Harbor Custom Development Inc,부동산 운영 관리,601010
3078,OCCI,OFS Credit Company Inc,다양한 금융서비스,555010
3079,SINT,SINTX Technologies Inc,헬스케어 장비 및 용품,561010
3080,HNRG,Hallador Energy Co,석유,501010
3081,OXLCO,Oxford Lane Capital Corp PRF,다양한 금융서비스,555010
3082,VIRC,Virco Mfg. Corp,전문 및 상업 서비스,522030
3083,MOTS,Motus GI Holdings Inc,헬스케어 장비 및 용품,561010
3084,AAME,Atlantic American Corp,보험,553010
3085,HGSH,China HGS Real Estate Inc,부동산 운영 관리,601010
3086,CSCW,Color Star Technology Co Ltd,교육서비스,631010
3087,NHLD,National Holdings Corp,투자은행 및 서비스,551020
3088,BCOW,1895 Bancorp of Wisconsin Inc,은행,551010
3089,AACG,ATA Creativity Global ADR,비즈니스교육,631030
3090,SPRT,Support.com Inc,소프트웨어 및 IT서비스,572010
3091,SXTC,China SXT Pharmaceuticals Inc,제약,562010
3092,MBNKP,Medallion Bank PRF,은행,551010
3093,WKEY,Wisekey International Holding AG ADR,반도체 및 반도체 장비,571010
3094,CSPI,CSP Inc,소프트웨어 및 IT서비스,572010
3095,SALM,Salem Media Group Inc Class A,미디어 및 출판,533020
3096,RAND,Rand Capital Corp,투자은행 및 서비스,551020
3097,LMRKP,Landmark Infrastructure Partners LP PRF,부동산 운영 관리,601010
3098,LIVE,Live Ventures Inc,기타 금융업,556010
3099,SEAC,SeaChange International Inc,소프트웨어 및 IT서비스,572010
3100,ESEA,Euroseas Ltd,화물 및 물류 서비스,524050
3101,ESBK,Elmira Savings Bank,은행,551010
3102,QUIK,QuickLogic Corp,반도체 및 반도체 장비,571010
3103,CJJD,China Jo-Jo Drugstores Inc,식품 및 약품소매,543010
3104,JAKK,JAKKS Pacific Inc,레저 상품,532050
3105,SVVC,Firsthand Technology Value Fund Inc,다양한 금융서비스,555010
3106,MTC,MMTEC Inc,소프트웨어 및 IT서비스,572010
3107,MKGI,Monaker Group Inc,소프트웨어 및 IT서비스,572010
3108,SOHO,Sotherly Hotels Inc,주택 및 상업용 리츠,601020
3109,ABIO,ARCA Biopharma Inc,제약,562010
